date,happiness
02/05/2018,3.7
02/12/2018,4.3
02/19/2018,4.1
02/26/2018,4.3
03/05/2018,4.3
03/12/2018,5.3
03/19/2018,7.4
03/26/2018,5.7
04/02/2018,5.9
04/09/2018,6
04/16/2018,5.4
04/23/2018,6
04/30/2018,3.4
05/07/2018,4.1
05/14/2018,5.1
05/21/2018,4.6
05/28/2018,7.9
06/04/2018,6
06/11/2018,4.7
06/18/2018,5.6
06/25/2018,3.3
07/02/2018,4
07/09/2018,3.6
07/16/2018,4.1
07/23/2018,3.9
07/30/2018,5.1
08/06/2018,5.1
08/13/2018,4
08/20/2018,5.1
08/27/2018,5.4
09/03/2018,5
09/10/2018,4